Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga;eleicao
14931;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;PACAJUS;ALEXANDRE OLIVEIRA NOGUEIRA;20;Jornalista e Redator;PODE;Não Eleito;44843;12357;2026-02-28 19:30:47;2024
13676;Branca;Solteiro(a);25 a 29 anos;Feminino;Superior completo;CARNAUBAL;ELLAYNE MARIA CHAVES MARTINS;15;Vereador;MDB;Não Eleito;11359;3501;2026-02-28 19:30:47;2024
14974;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;PACOTI;FRANCISCO JOSE SAMPAIO LEITE;55;Empresário;PSD;Não Eleito;9310;3510;2026-02-28 19:30:47;2024
13218;Parda;Casado(a);45 a 49 anos;Feminino;Superior incompleto;ARACATI;ROBERTA CARDOSO BARBOSA DE ALMEIDA;20;Vereador;PODE;Eleito;46893;26825;2026-02-28 19:30:47;2024
13293;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;ARNEIROZ;ANTONIO MONTEIRO PEDROSA FILHO;10;Prefeito;REPUBLICANOS;Eleito;5938;4159;2026-02-28 19:30:47;2024
13234;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;ARACOIABA;WELLINGTON SILVA DE OLIVEIRA;11;Empresário;PP;Eleito;21596;10946;2026-02-28 19:30:47;2024
13897;Branca;Divorciado(a);65 a 69 anos;Masculino;Superior completo;FORTALEZA;JOSE SARTO NOGUEIRA MOREIRA;12;Prefeito;PDT;Não Eleito;1397526;164402;2026-02-28 19:30:47;2024
15679;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;TAUÁ;MURILLO PEDROSA DE CARVALHO;22;Advogado;PL;Não Eleito;37542;794;2026-02-28 19:30:47;2024
13455;Preta;Casado(a);40 a 44 anos;Masculino;Superior completo;BELA CRUZ;FERNANDO NUNES DE VASCONCELOS;11;Servidor Público Federal;PP;Não Eleito;17683;5196;2026-02-28 19:30:47;2024
13323;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;TEJUÇUOCA;JOSE ANTUNIZIO DE BRITO;10;Prefeito;REPUBLICANOS;Eleito;13715;10743;2026-02-28 19:30:47;2024
15954;Parda;Casado(a);30 a 34 anos;Masculino;Superior incompleto;ITAREMA;MARCOS ROBÉRIO RIBEIRO MONTEIRO FILHO;40;Empresário;PSB;Eleito;28216;17440;2026-02-28 19:30:47;2024
15733;Parda;Divorciado(a);45 a 49 anos;Masculino;Ensino Médio completo;UBAJARA;MANOEL NONATO DE SOUZA;15;Gari ou Lixeiro;MDB;Não Eleito;22180;2029;2026-02-28 19:30:47;2024
13285;Preta;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;PINDORETAMA;JEOVÁ DA SILVA;22;Outros;PL;Não Eleito;17061;80;2026-02-28 19:30:47;2024
14354;Parda;Casado(a);65 a 69 anos;Feminino;Superior completo;JAGUARETAMA;LUZIA CUNHA SALDANHA BRITO;45;Enfermeiro;PSDB;Não Eleito;9192;0;2026-02-28 19:30:47;2024
14591;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Fundamental incompleto;MARTINÓPOLE;FRANCISCO EDIBERTO DE SOUZA;11;Prefeito;PP;Eleito;9285;5997;2026-02-28 19:30:47;2024
