Ano de eleição;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;Zona;Votos válidos;Votos nominais;Data de carga
2024;14354;Parda;Casado(a);65 a 69 anos;Feminino;Superior completo;JAGUARETAMA;LUZIA CUNHA SALDANHA BRITO;45;Enfermeiro;PSDB;NORDESTE;Não Eleito;1;72;9192;0;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;44;Policial Militar;UNIÃO;NORDESTE;Não Eleito;1;1;94182;9950;2026-02-28 19:30:47
2024;13307;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;OCARA;HUMBERTO MAIA DE QUEIROZ JÚNIOR;11;Advogado;PP;NORDESTE;Não Eleito;1;67;22746;10258;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;FORTALEZA;JOSÉ BATISTA NETO;16;Trabalhador de Construção Civil;PSTU;NORDESTE;Não Eleito;1;95;80638;33;2026-02-28 19:30:47
2024;14451;Branca;Divorciado(a);30 a 34 anos;Feminino;Superior completo;JATI;MONICA ROSANY PEREIRA MARIANO;13;Empresário;PT;NORDESTE;Eleito;1;70;6051;3578;2026-02-28 19:30:47
2024;13420;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;ARARENDÁ;ARISTEU ALVES EDUARDO;13;Contador;PT;NORDESTE;Eleito;1;48;7584;5870;2026-02-28 19:30:47
2024;15210;Branca;Solteiro(a);35 a 39 anos;Masculino;Ensino Médio completo;PORANGA;ANTONIO ROBERTO UCHOA DE ALMEIDA;13;Empresário;PT;NORDESTE;Eleito;1;40;7979;4227;2026-02-28 19:30:47
2024;13897;Branca;Divorciado(a);65 a 69 anos;Masculino;Superior completo;FORTALEZA;JOSE SARTO NOGUEIRA MOREIRA;12;Prefeito;PDT;NORDESTE;Não Eleito;1;3;72239;8978;2026-02-28 19:30:47
2024;13730;Preta;Casado(a);55 a 59 anos;Masculino;Superior completo;CAUCAIA;WALDEMIR CATANHO DE SENA JUNIOR;13;Jornalista e Redator;PT;NORDESTE;Não Eleito;2;37;68509;30465;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Não Eleito;2;3;73527;38019;2026-02-28 19:30:47
