Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
15920;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;IBICUITINGA;FRANCISCO JOSE MAGALHAES CARNEIRO;12;Empresário;PDT;NORDESTE;Eleito;10702;5428;2026-01-19 14:01:28
15253;Branca;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;POTENGI;JOSE EDIVANIO FERREIRA DOS SANTOS;22;Vereador;PR;NORDESTE;Não Eleito;5120;1751;2026-01-19 14:01:28
14117;Branca;Divorciado(a);50 a 54 anos;Masculino;Superior completo;IGUATU;VANDEILTON SUCUPIRA FRANCELINO;28;Agrônomo;PRTB;NORDESTE;Não Eleito;52519;523;2026-01-19 14:01:28
13994;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Fundamental incompleto;GROAÍRAS;FRANCISCO UELITON MARTINS VASCONCELOS;23;Servidor Público Estadual;PPS;NORDESTE;Eleito;7149;3925;2026-01-19 14:01:28
14079;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;IBIAPINA;MARCOS ANTONIO DA SILVA LIMA;14;Contador;PTB;NORDESTE;Não Eleito;13282;5318;2026-01-19 14:01:28
13838;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;CRATEÚS;IVAN MONTE CLAUDINO;55;Servidor Público Federal;PSD;NORDESTE;Não Eleito;41621;4911;2026-01-19 14:01:28
15199;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;PIQUET CARNEIRO;JOSE FRANCO VIEIRA NETO;22;Servidor Público Federal;PR;NORDESTE;Não Eleito;8905;3160;2026-01-19 14:01:28
13382;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;BANABUIÚ;THIAGO SÁ PONTE;15;Advogado;PMDB;NORDESTE;Não Eleito;11973;4978;2026-01-19 14:01:28
13455;Parda;Casado(a);65 a 69 anos;Masculino;Superior completo;BELA CRUZ;ELIESIO ROCHA ADRIANO;14;Administrador;PTB;NORDESTE;Eleito;16182;8805;2026-01-19 14:01:28
14850;Branca;Solteiro(a);50 a 54 anos;Feminino;Superior completo;NOVA OLINDA;MARIA DO SOCORRO ALVES DE MATOS;13;Professor de Ensino Fundamental;PT;NORDESTE;Não Eleito;9648;3767;2026-01-19 14:01:28
14613;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;MASSAPÊ;ANTONIO JOSE AGUIAR ALBUQUERQUE;11;Outros;PP;NORDESTE;Não Eleito;23360;10764;2026-01-19 14:01:28
14273;Parda;Casado(a);70 a 74 anos;Masculino;Ensino Fundamental completo;ITAPAJÉ;ANTONIO ARAÚJO CRUZ;15;Comerciante;PMDB;NORDESTE;Não Eleito;28962;9938;2026-01-19 14:01:28
15555;Parda;Divorciado(a);55 a 59 anos;Feminino;Superior completo;SENADOR POMPEU;ADELMA TEIXEIRA SARAIVA;65;Outros;PC do B;NORDESTE;Não Eleito;16483;1052;2026-01-19 14:01:28
13102;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior incompleto;QUITERIANÓPOLIS;CLOVIS LACERDA PEREIRA JUNIOR;15;Supervisor, Inspetor e Agente de Compras e Vendas;PMDB;NORDESTE;Não Eleito;7029;280;2026-01-19 14:01:28
14958;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;PACATUBA;CARLOMANO GOMES MARQUES;15;Deputado;PMDB;NORDESTE;Eleito;35534;11999;2026-01-19 14:01:28
