Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga
13676;Branca;Solteiro(a);25 a 29 anos;Feminino;Superior completo;CARNAUBAL;ELLAYNE MARIA CHAVES MARTINS;15;Vereador;MDB;Não Eleito;11359;3501;2026-02-28 19:30:47
14974;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;PACOTI;FRANCISCO JOSE SAMPAIO LEITE;55;Empresário;PSD;Não Eleito;9310;3510;2026-02-28 19:30:47
13218;Parda;Casado(a);45 a 49 anos;Feminino;Superior incompleto;ARACATI;ROBERTA CARDOSO BARBOSA DE ALMEIDA;20;Vereador;PODE;Eleito;46893;26825;2026-02-28 19:30:47
13293;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;ARNEIROZ;ANTONIO MONTEIRO PEDROSA FILHO;10;Prefeito;REPUBLICANOS;Eleito;5938;4159;2026-02-28 19:30:47
13234;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;ARACOIABA;WELLINGTON SILVA DE OLIVEIRA;11;Empresário;PP;Eleito;21596;10946;2026-02-28 19:30:47
13897;Branca;Divorciado(a);65 a 69 anos;Masculino;Superior completo;FORTALEZA;JOSE SARTO NOGUEIRA MOREIRA;12;Prefeito;PDT;Não Eleito;1397526;164402;2026-02-28 19:30:47
15679;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;TAUÁ;MURILLO PEDROSA DE CARVALHO;22;Advogado;PL;Não Eleito;37542;794;2026-02-28 19:30:47
13455;Preta;Casado(a);40 a 44 anos;Masculino;Superior completo;BELA CRUZ;FERNANDO NUNES DE VASCONCELOS;11;Servidor Público Federal;PP;Não Eleito;17683;5196;2026-02-28 19:30:47
13323;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;TEJUÇUOCA;JOSE ANTUNIZIO DE BRITO;10;Prefeito;REPUBLICANOS;Eleito;13715;10743;2026-02-28 19:30:47
15954;Parda;Casado(a);30 a 34 anos;Masculino;Superior incompleto;ITAREMA;MARCOS ROBÉRIO RIBEIRO MONTEIRO FILHO;40;Empresário;PSB;Eleito;28216;17440;2026-02-28 19:30:47
15733;Parda;Divorciado(a);45 a 49 anos;Masculino;Ensino Médio completo;UBAJARA;MANOEL NONATO DE SOUZA;15;Gari ou Lixeiro;MDB;Não Eleito;22180;2029;2026-02-28 19:30:47
13285;Preta;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;PINDORETAMA;JEOVÁ DA SILVA;22;Outros;PL;Não Eleito;17061;80;2026-02-28 19:30:47
14354;Parda;Casado(a);65 a 69 anos;Feminino;Superior completo;JAGUARETAMA;LUZIA CUNHA SALDANHA BRITO;45;Enfermeiro;PSDB;Não Eleito;9192;0;2026-02-28 19:30:47
14591;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Fundamental incompleto;MARTINÓPOLE;FRANCISCO EDIBERTO DE SOUZA;11;Prefeito;PP;Eleito;9285;5997;2026-02-28 19:30:47
13072;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;AIUABA;SEBASTIÃO ARRAES OLIVEIRA PAIVA;55;Servidor Público Municipal;PSD;Não Eleito;9443;4268;2026-02-28 19:30:47
13714;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;CATARINA;STELA MACLA FEITOSA DE MATOS RODRIGUES;55;Administrador;PSD;Não Eleito;8718;3722;2026-02-28 19:30:47
13307;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;OCARA;LEONILDO PEIXOTO FARIAS;40;Médico;PSB;Eleito;22746;12381;2026-02-28 19:30:47
15733;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;UBAJARA;ADÉCIO MUNIZ PAIVA FILHO;40;Advogado;PSB;Eleito;22180;10835;2026-02-28 19:30:47
14753;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;MORADA NOVA;JOSE JEOVANE MAIA BARROS;30;Produtor Agropecuário;NOVO;Não Eleito;48016;254;2026-02-28 19:30:47
15474;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;SÃO BENEDITO;SAUL LIMA MACIEL;13;Advogado;PT;Eleito;26608;17708;2026-02-28 19:30:47
15113;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;PEDRA BRANCA;MARIA IVONETH BRAGA DE SOUSA;13;Professor de Ensino Superior;PT;Eleito;26824;14923;2026-02-28 19:30:47
14214;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;IRACEMA;CELSO GOMES DA SILVA NETO;13;Prefeito;PT;Eleito;10362;5279;2026-02-28 19:30:47
14150;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;IPAUMIRIM;WILSON ALVES DE FREITAS;55;Empresário;PSD;Eleito;7916;6117;2026-02-28 19:30:47
13897;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;EVANDRO SA BARRETO LEITAO;13;Deputado;PT;Segundo turno;1397526;480174;2026-02-28 19:30:47
13919;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;FRECHEIRINHA;MAIKE BISPO PONTES;40;Servidor Público Municipal;PSB;Não Eleito;11809;5637;2026-02-28 19:30:47
14591;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;MARTINÓPOLE;FILIPE FELIX SOUSA;44;Contador;UNIÃO;Não Eleito;9285;2501;2026-02-28 19:30:47
15997;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;PARAIPABA;ARIANA CORDEIRO FAÇANHA DE AQUINO;10;Prefeito;REPUBLICANOS;Eleito;20496;20496;2026-02-28 19:30:47
14133;Parda;Casado(a);25 a 29 anos;Masculino;Superior completo;INDEPENDÊNCIA;WILLIAM VIEIRA;13;Engenheiro;PT;Eleito;18120;10940;2026-02-28 19:30:47
13250;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;ARARIPE;JOSE PAULINO PEREIRA;13;Vereador;PT;Eleito;14059;7146;2026-02-28 19:30:47
13730;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CAUCAIA;NAUMI GOMES DE AMORIM;55;Empresário;PSD;Eleito;181849;109835;2026-02-28 19:30:47
13633;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;CARIRIAÇU;LUIZ ACACIO MACHADO LEITE;13;Empresário;PT;Eleito;20440;10778;2026-02-28 19:30:47
13358;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;BAIXIO;RAIMUNDO AMAURILIO ARAUJO OLIVEIRA;12;Prefeito;PDT;Não Eleito;4916;2374;2026-02-28 19:30:47
15075;Branca;Divorciado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;PARAMBU;ROMULO CESAR FEITOSA SOUSA;40;Agricultor;PSB;Não Eleito;20189;2168;2026-02-28 19:30:47
13129;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;BARREIRA;MARIA AUXILIADORA BEZERRA FECHINE;55;Médico;PSD;Não Eleito;16805;7432;2026-02-28 19:30:47
13382;Branca;Casado(a);30 a 34 anos;Feminino;Superior completo;BANABUIÚ;ANNE VILENE MACHADO NOBRE DE VASCONCELOS;15;Vereador;MDB;Não Eleito;13550;5967;2026-02-28 19:30:47
13226;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;EUSÉBIO;JOSE ARIMATEA LIMA BARROS JUNIOR;25;Médico;PRD;Eleito;44781;36256;2026-02-28 19:30:47
13757;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;CEDRO;SAMUEL ENEIAS PINHEIRO VIANA;13;Médico;PT;Não Eleito;16670;7815;2026-02-28 19:30:47
15156;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;PENTECOSTE;ILANNA MOURA AZEVEDO CIRILO;13;Psicólogo;PT;Não Eleito;26942;10546;2026-02-28 19:30:47
15350;Branca;Casado(a);35 a 39 anos;Masculino;Superior incompleto;RERIUTABA;OSVALDO HONORIO LEMOS NETO;13;Empresário;PT;Não Eleito;13482;5005;2026-02-28 19:30:47
13510;Parda;Casado(a);60 a 64 anos;Feminino;Superior completo;CAMOCIM;EUVALDETE FERRO DA ROCHA OLIVEIRA;13;Pedagogo;PT;Não Eleito;40552;18320;2026-02-28 19:30:47
13870;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;FARIAS BRITO;JOSÉ VANDEVELDER FREITAS FRANCELINO;13;Médico;PT;Não Eleito;15497;7011;2026-02-28 19:30:47
14990;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;PACUJÁ;JOAO PAULO DE ARAUJO MARQUES;23;Agricultor;CIDADANIA;Não Eleito;5461;1560;2026-02-28 19:30:47
14117;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;IGUATU;JOSÉ DE SÁ VILAROUCA;40;Empresário;PSB;Não Eleito;58796;2031;2026-02-28 19:30:47
14753;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;MORADA NOVA;SÉRGIO RICARDO MAIA ISAIAS;50;Servidor Público Civil Aposentado;PSOL;Não Eleito;48016;127;2026-02-28 19:30:47
13366;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;TARRAFAS;ERONILDES FRANCISCO DOS SANTOS;40;Comerciante;PSB;Eleito;6268;3578;2026-02-28 19:30:47
15156;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;PENTECOSTE;VICENTE DE PAULO SOUSA E SILVA;40;Outros;PSB;Eleito;26942;16283;2026-02-28 19:30:47
13730;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CAUCAIA;NAUMI GOMES DE AMORIM;55;Empresário;PSD;Segundo turno;193000;74146;2026-02-28 19:30:47
15555;Parda;Casado(a);50 a 54 anos;Feminino;Superior completo;SENADOR POMPEU;MARCIA LIMA DE OLIVEIRA FREIRE;40;Advogado;PSB;Eleito;17003;9220;2026-02-28 19:30:47
13510;Branca;Divorciado(a);50 a 54 anos;Feminino;Superior completo;CAMOCIM;MARIA ELIZABETE MAGALHÃES;40;Prefeito;PSB;Eleito;40552;22021;2026-02-28 19:30:47
14010;Branca;Solteiro(a);50 a 54 anos;Masculino;Superior completo;GUARACIABA DO NORTE;JOSE ELISIARIO DE MELO NOBRE JUNIOR;15;Servidor Público Estadual;MDB;Não Eleito;26801;10817;2026-02-28 19:30:47
14257;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;ITAIÇABA;ANTONIEL MAX SILVA HOLANDA;13;Vereador;PT;Eleito;4018;2550;2026-02-28 19:30:47
15792;Parda;Solteiro(a);30 a 34 anos;Masculino;Ensino Médio completo;URUOCA;JAN KENNEDY PAIVA AQUINO;13;Prefeito;PT;Eleito;9329;7932;2026-02-28 19:30:47
13390;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;BARRO;HERICLES GEORGE FEITOSA ALBUQUERQUE;15;Médico;MDB;Eleito;12835;8259;2026-02-28 19:30:47
14010;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;GUARACIABA DO NORTE;JOSÉ CEFAS PONTES MELO;55;Cientista Político;PSD;Eleito;26801;15984;2026-02-28 19:30:47
13196;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;AQUIRAZ;PAULO SERGIO BARBOSA DA CUNHA;30;Servidor Público Estadual;NOVO;Não Eleito;56085;1931;2026-02-28 19:30:47
13137;Preta;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;ALTO SANTO;DAMIÃO AMÂNCIO DA SILVA;50;Técnico em Edificações;PSOL;Não Eleito;10476;530;2026-02-28 19:30:47
13838;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Médio completo;CRATEÚS;ANTONIO MARCELO SOARES BARBOSA;45;Empresário;PSDB;Não Eleito;47932;21877;2026-02-28 19:30:47
14796;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;MORRINHOS;JERÔNIMO NETO BRANDÃO;13;Prefeito;PT;Eleito;17345;9001;2026-02-28 19:30:47
14095;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;ICÓ;SENIA APARECIDA RODRIGUES DE SOUSA TORRES;15;Pedagogo;MDB;Não Eleito;38312;12515;2026-02-28 19:30:47
13188;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;HORIZONTE;ALEXANDRE HOLANDA SABINO;12;Médico;PDT;Não Eleito;49791;2548;2026-02-28 19:30:47
13633;Preta;Casado(a);45 a 49 anos;Masculino;Superior completo;CARIRIAÇU;CÉLIO DE MENDONÇA CLEMENTE;50;Professor de Ensino Médio;PSOL;Não Eleito;20440;158;2026-02-28 19:30:47
15733;Branca;Divorciado(a);65 a 69 anos;Masculino;Ensino Médio completo;UBAJARA;FRANCISCO RENATO ALVES PESSOA;55;Empresário;PSD;Não Eleito;22180;9316;2026-02-28 19:30:47
14770;Branca;Solteiro(a);30 a 34 anos;Masculino;Superior completo;MORAÚJO;RUAN VICTOR ARAÚJO DE OLIVEIRA LIMA;55;Empresário;PSD;Eleito;7402;4028;2026-02-28 19:30:47
14095;Parda;Solteiro(a);45 a 49 anos;Feminino;Superior completo;ICÓ;AURINEIDE AMARO DE SOUSA;13;Professor de Ensino Superior;PT;Eleito;38312;24944;2026-02-28 19:30:47
14133;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio incompleto;INDEPENDÊNCIA;ERIVAN SOARES MOTA;30;Comerciante;NOVO;Não Eleito;18120;79;2026-02-28 19:30:47
15075;Parda;Solteiro(a);25 a 29 anos;Masculino;Superior completo;PARAMBU;ROMULO MATEUS NORONHA;77;Prefeito;SOLIDARIEDADE;Eleito;20189;16282;2026-02-28 19:30:47
13048;Branca;Casado(a);30 a 34 anos;Feminino;Superior completo;PIRES FERREIRA;LIVIA MARIA MESQUITA MORORO MUNIZ MARQUES;40;Prefeito;PSB;Eleito;7527;5391;2026-02-28 19:30:47
14680;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;MIRAÍMA;FRANCISCO FRANK SINATRA DIAS BRAGA;55;Advogado;PSD;Não Eleito;10379;2715;2026-02-28 19:30:47
13170;Branca;Solteiro(a);35 a 39 anos;Feminino;Superior completo;APUIARÉS;IRIS MARIA CRUZ DE LIMA;13;Prefeito;PT;Não Eleito;11136;3628;2026-02-28 19:30:47
15156;Parda;Casado(a);35 a 39 anos;Feminino;Ensino Fundamental incompleto;PENTECOSTE;ANTÔNIA ERINEIDE BRASILEIRO DE OLIVEIRA;35;Agricultor;PMB;Não Eleito;26942;113;2026-02-28 19:30:47
14052;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;HIDROLÂNDIA;FRANCISCO JERBERSON TIMBO MAGALHAES;20;Empresário;PODE;Não Eleito;13788;6631;2026-02-28 19:30:47
15890;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CRUZ;JOSÉ WALDERY MUNIZ;40;Comerciante;PSB;Eleito;19089;12655;2026-02-28 19:30:47
13757;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;CEDRO;FRANCISCO NILSON ALVES DINIZ;40;Médico;PSB;Eleito;16670;8855;2026-02-28 19:30:47
13161;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;CHOROZINHO;EMILIANO ALEXANDRE DE FREITAS NETO;33;Outros;MOBILIZA;Não Eleito;15788;110;2026-02-28 19:30:47
13811;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;COREAÚ;ANTONINO DOURADO ARAUJO;22;Comerciante;PL;Não Eleito;16238;3877;2026-02-28 19:30:47
15539;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;SÃO LUÍS DO CURU;DANIEL BEZERRA LIMA;65;Médico;PC do B;Não Eleito;10467;4993;2026-02-28 19:30:47
15857;Branca;Casado(a);80 a 84 anos;Masculino;Superior completo;MARACANAÚ;ROBERTO SOARES PESSOA;44;Administrador;UNIÃO;Eleito;138441;86976;2026-02-28 19:30:47
14095;Parda;Casado(a);50 a 54 anos;Feminino;Superior incompleto;ICÓ;MARIA CRISTIANA VIANA;10;Dona de Casa;REPUBLICANOS;Não Eleito;38312;853;2026-02-28 19:30:47
14699;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;MISSÃO VELHA;LUIZ ROSEMBERG DANTAS MACEDO FILHO;40;Médico;PSB;Eleito;24703;13720;2026-02-28 19:30:47
14354;Branca;Solteiro(a);25 a 29 anos;Masculino;Superior completo;JAGUARETAMA;MARCOS VINICIUS DE ABREU CUNHA;40;Médico;PSB;Eleito;9192;9192;2026-02-28 19:30:47
13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;Segundo turno;1397526;562305;2026-02-28 19:30:47
13080;Parda;Casado(a);40 a 44 anos;Masculino;Superior incompleto;TURURU;RAIMUNDO NONATO MONTEIRO DO NASCIMENTO;44;Comerciante;UNIÃO;Eleito;13375;5268;2026-02-28 19:30:47
13994;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;GROAÍRAS;ADAIL ALBUQUERQUE MELO;40;Prefeito;PSB;Não Eleito;8375;4177;2026-02-28 19:30:47
14117;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;IGUATU;PEDRO HELDER DE OLIVEIRA;22;Militar Reformado;PL;Não Eleito;58796;650;2026-02-28 19:30:47
13323;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;TEJUÇUOCA;EDILARDO EUFRASIO DA CRUZ;15;Comerciante;MDB;Não Eleito;13715;2972;2026-02-28 19:30:47
13730;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;CAUCAIA;ANTONIO AGINALDO DE OLIVEIRA;22;Militar Reformado;PL;Não Eleito;193000;23628;2026-02-28 19:30:47
98531;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;QUIXELÔ;JOSÉ ADIL VIEIRA JUNIOR;40;Prefeito;PSB;Eleito;12811;9551;2026-02-28 19:30:47
15911;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;FORQUILHA;EDINARDO RODRIGUES FILHO;40;Administrador;PSB;Eleito;17170;9431;2026-02-28 19:30:47
13978;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;GRANJEIRO;LUIZ ALMIR SOARES;45;Agricultor;PSDB;Não Eleito;5496;2214;2026-02-28 19:30:47
13480;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;ITAITINGA;LUIZ CARLOS FEITOSA ARRAIS;55;Servidor Público Estadual;PSD;Não Eleito;30384;9411;2026-02-28 19:30:47
14290;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;ITAPIPOCA;FELIPE SOUZA PINHEIRO;13;Prefeito;PT;Eleito;82276;56361;2026-02-28 19:30:47
13978;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;GRANJEIRO;FRANCISCO CLEMENTINO DE ALMEIDA;15;Comerciante;MDB;Eleito;5496;3282;2026-02-28 19:30:47
13994;Branca;Solteiro(a);45 a 49 anos;Feminino;Superior completo;GROAÍRAS;VIRGINA SOUZA AGUIAR;12;Advogado;PDT;Eleito;8375;4198;2026-02-28 19:30:47
13153;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;ANTONINA DO NORTE;ELMAR ALVES DA SILVA;15;Servidor Público Municipal;MDB;Não Eleito;5613;994;2026-02-28 19:30:47
14656;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;MERUOCA;CARLA MARA DAVI MACEDO;40;Administrador;PSB;Não Eleito;11368;4179;2026-02-28 19:30:47
14958;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;PACATUBA;RAFAEL MARQUES BASTOS;40;Administrador;PSB;Não Eleito;47973;21031;2026-02-28 19:30:47
14079;Branca;Casado(a);35 a 39 anos;Masculino;Superior incompleto;IBIAPINA;ANTONIO LEANDRO GOMES LINHARES;55;Empresário;PSD;Não Eleito;15874;6575;2026-02-28 19:30:47
13285;Preta;Solteiro(a);30 a 34 anos;Feminino;Superior completo;PINDORETAMA;SABRYNA LAYS CUNHA DA ROCHA;13;Advogado;PT;Não Eleito;17061;4197;2026-02-28 19:30:47
13897;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;44;Policial Militar;UNIÃO;Não Eleito;1397526;159426;2026-02-28 19:30:47
14877;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;NOVA RUSSAS;FRANCISCO PEDRO GONÇALVES DE SOUZA XIMENES;13;Médico;PT;Não Eleito;20037;3301;2026-02-28 19:30:47
13145;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;ACARAPE;FRANCISCO EDILBERTO BESERRA BARROSO;40;Prefeito;PSB;Eleito;11074;7153;2026-02-28 19:30:47
13064;Branca;Divorciado(a);45 a 49 anos;Masculino;Ensino Médio completo;GRAÇA;GADYEL GONÇALVES DE AGUIAR PAULA;13;Empresário;PT;Não Eleito;11160;5340;2026-02-28 19:30:47
14478;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;JUAZEIRO DO NORTE;GLÊDSON LIMA BEZERRA;20;Policial Civil;PODE;Eleito;156753;83514;2026-02-28 19:30:47
15458;Parda;Divorciado(a);65 a 69 anos;Masculino;Ensino Médio completo;SANTA QUITÉRIA;JOSE BRAGA BARROZO;40;Empresário;PSB;Eleito;27534;11292;2026-02-28 19:30:47
