Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
13919;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;FRECHEIRINHA;RAIMUNDO AGUIAR AZEVEDO;40;Advogado;PSB;NORDESTE;Não Eleito;8721;3842;2021-07-26 16:58:35
13293;#NE#;Solteiro(a);30 a 34 anos;Masculino;Ensino Médio incompleto;ARNEIROZ;ANTONIO NUNES DE SOUSA FILHO;31;Pecuarista;PHS;NORDESTE;Não Eleito;5193;2371;2021-07-26 16:58:35
14818;#NE#;Casado(a);70 a 74 anos;Masculino;Ensino Fundamental completo;MUCAMBO;MANOEL GOMES DE LIMA;55;Prefeito;PSD;NORDESTE;Não Eleito;9207;3988;2021-07-26 16:58:35
14516;#NE#;Casado(a);65 a 69 anos;Masculino;Superior completo;LAVRAS DA MANGABEIRA;GUSTAVO AUGUSTO LIMA BISNETO;10;Médico;PRB;NORDESTE;Eleito;17505;9825;2021-07-26 16:58:35
13714;#NE#;Solteiro(a);30 a 34 anos;Masculino;Superior completo;CATARINA;RAFAEL RUFINO MELO PAES DE ANDRADE;15;Servidor Público Municipal;PMDB;NORDESTE;Eleito;6850;4114;2021-07-26 16:58:35
13897;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;HEITOR CORREIA FERRER;12;Médico;PDT;NORDESTE;Não Eleito;105387;20415;2021-07-26 16:58:35
15237;#NE#;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;PORTEIRAS;JOAQUIM GOMES DA CRUZ;13;Vereador;PT;NORDESTE;Não Eleito;9915;4265;2021-07-26 16:58:35
13951;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;GRANJA;HÉLIO FONTENELE MAGALHÃES;55;Comerciante;PSD;NORDESTE;Não Eleito;18011;0;2021-07-26 16:58:35
15598;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;SOBRAL;MARCO ANTÔNIO BARROSO PRADO;45;Advogado;PSDB;NORDESTE;Não Eleito;60008;4126;2021-07-26 16:58:35
14397;#NE#;Divorciado(a);55 a 59 anos;Masculino;Superior completo;JAGUARIBE;JOSÉ ABNER NOGUEIRA DIÓGENES PINHEIRO;40;Economista;PSB;NORDESTE;Eleito;21689;9353;2021-07-26 16:58:35
13579;#NE#;Divorciado(a);45 a 49 anos;Masculino;Superior completo;CAPISTRANO;CLAUDIO BEZERRA SARAIVA;12;Prefeito;PDT;NORDESTE;Eleito;12381;7765;2021-07-26 16:58:35
14877;#NE#;Casado(a);50 a 54 anos;Masculino;Superior completo;NOVA RUSSAS;MARCOS ALBERTO MARTINS TORRES;20;Empresário;PSC;NORDESTE;Não Eleito;16781;2277;2021-07-26 16:58:35
