Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
13412;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;BATURITÉ;HERBERLH FREITAS REIS CAVALCANTE MOTA;22;Empresário;PL;NORDESTE;Eleito;20203;7419;2026-01-06 16:45:04
15938;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Fundamental incompleto;ICAPUÍ;ODIVAN PEDRO DA SILVA;18;Outros;REDE;NORDESTE;Não Eleito;13647;46;2026-01-06 16:45:04
15857;Parda;Casado(a);40 a 44 anos;Masculino;Superior incompleto;MARACANAÚ;MARCOS JOSE GOMES DOS SANTOS;28;Servidor Público Municipal;PRTB;NORDESTE;Não Eleito;118899;137;2026-01-06 16:45:04
13110;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;ALTANEIRA;ANA KESIA DE ALCANTARA SOARES;12;Empresário;PDT;NORDESTE;Não Eleito;4945;2405;2026-01-06 16:45:04
14915;Branca;Solteiro(a);40 a 44 anos;Feminino;Superior completo;ORÓS;LUHANNA URYA MACIEL BEZERRA;11;Advogado;PP;NORDESTE;Não Eleito;13148;6078;2026-01-06 16:45:04
14192;Branca;Solteiro(a);25 a 29 anos;Masculino;Superior completo;IPUEIRAS;FRANCISCO SOUTO DE VASCONCELOS JÚNIOR;15;Advogado;MDB;NORDESTE;Eleito;23001;12576;2026-01-06 16:45:04
13382;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;BANABUIÚ;FRANCISCO HERMES NOBRE;12;Prefeito;PDT;NORDESTE;Eleito;11862;7093;2026-01-06 16:45:04
15059;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;PARACURU;MÁRCIO BATISTA BARBOSA;77;Servidor Público Federal;SOLIDARIEDADE;NORDESTE;Não Eleito;22664;935;2026-01-06 16:45:04
13730;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;CAUCAIA;NAUMI GOMES DE AMORIM;55;Prefeito;PSD;NORDESTE;Não Eleito;163633;80045;2026-01-06 16:45:04
15059;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;PARACURU;EVELINE COSTA DE ARAÚJO;90;Odontólogo;PROS;NORDESTE;Não Eleito;22664;5365;2026-01-06 16:45:04
13897;Branca;Separado(a) judicialmente;65 a 69 anos;Masculino;Superior completo;FORTALEZA;SAMUEL MORAES BRAGA;51;Pedagogo;PATRIOTA;NORDESTE;Não Eleito;1280925;1749;2026-01-06 16:45:04
14117;Branca;Solteiro(a);45 a 49 anos;Masculino;Ensino Médio completo;IGUATU;EDNALDO DE LAVOR COURAS;55;Empresário;PSD;NORDESTE;Eleito;53650;29103;2026-01-06 16:45:04
13188;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;HORIZONTE;FRANCISCO MARLON COSTA MATOS;65;Servidor Público Municipal;PC do B;NORDESTE;Não Eleito;44196;374;2026-01-06 16:45:04
13315;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;ASSARÉ;FRANCISCO DANIEL ARRAIS;50;Músico;PSOL;NORDESTE;Não Eleito;14910;65;2026-01-06 16:45:04
14532;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;LIMOEIRO DO NORTE;ITALO DIOGENES HOLANDA BEZERRA;15;Empresário;MDB;NORDESTE;Não Eleito;34295;389;2026-01-06 16:45:04
15873;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;AMONTADA;FLAVIO CESAR BRUNO TEIXEIRA FILHO;14;Bancário e Economiário;PTB;NORDESTE;Eleito;26067;14696;2026-01-06 16:45:04
13005;Parda;Divorciado(a);45 a 49 anos;Masculino;Ensino Médio incompleto;JIJOCA DE JERICOACOARA;LINDBERGH MARTINS;55;Prefeito;PSD;NORDESTE;Eleito;13786;6841;2026-01-06 16:45:04
14753;Branca;Divorciado(a);55 a 59 anos;Masculino;Ensino Médio completo;MORADA NOVA;GLAUBER BARBOSA CASTRO;15;Servidor Público Federal;MDB;NORDESTE;Não Eleito;43002;16810;2026-01-06 16:45:04
15997;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;PARAIPABA;DIMITRI RABELO BATISTA CASTRO;12;Administrador;PDT;NORDESTE;Não Eleito;20384;6485;2026-01-06 16:45:04
14877;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;NOVA RUSSAS;GIORDANNA SILVA BRAGA MANO;22;Advogado;PL;NORDESTE;Eleito;18068;9929;2026-01-06 16:45:04
14613;Branca;Divorciado(a);40 a 44 anos;Feminino;Superior completo;MASSAPÊ;ALINE AGUIAR ALBUQUERQUE;11;Economista;PP;NORDESTE;Eleito;25109;10132;2026-01-06 16:45:04
13048;Parda;Casado(a);30 a 34 anos;Feminino;Superior completo;PIRES FERREIRA;LÍVIA MARIA MESQUITA MORORO MUNIZ MARQUES;12;Médico;PDT;NORDESTE;Eleito;6657;3690;2026-01-06 16:45:04
